#Alamein Line - To Alamein,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament,Richmond,East Richmond,Burnley,Hawthorn,Glenferrie,Auburn,Camberwell,Riversdale,Willison,Hartwell,Burwood,Asburton,Alamein
t1,-,-,-,-,-,5:02,,,,,5:05,|,5:08,5:10,5:12,5:14,5:16,-,-,-,-,-,-
t2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5:21,5:24,5:25,5:27,5:29,5:31,5:33
t3,-,-,-,-,-,5:28,,,,,5:31,5:33,5:35,5:37,5:39,5:41,5:43,5:46,5:47,5:49,5:51,5:53,5:55
t4,-,-,-,-,-,5:48,,,,,5:51,5:53,5:55,5:57,5:59,6:01,6:03,6:06,6:07,6:09,6:11,6:13,6:15
t5,5:46,5:48,5:49,5:51,5:55,6:00,,,,,6:03,|,|,|,|,|,6:11,-,-,-,-,-,-
t6,-,-,-,-,-,6:08,,,,,6:11,|,|,|,|,|,6:19,-,-,-,-,-,-
t7,5:57,5:59,6:00,6:02,6:06,6:11,,,,,6:14,6:16,6:18,6:20,6:22,6:24,6:26,6:29,6:30,6:32,6:34,6:36,6:38
t8,-,-,-,-,-,6:19,,,,,6:22,|,|,|,|,|,6:30,-,-,-,-,-,-
t9,6:16,6:18,6:19,6:21,6:25,6:29,,,,,6:32,|,6:35,6:37,6:39,6:41,6:43,-,-,-,-,-,-
t10,6:27,6:29,6:30,6:32,6:36,6:40,,,,,6:43,|,|,|,|,|,6:51,-,-,-,-,-,-
t11,-,-,-,-,-,6:40,,,,,6:43,6:45,6:47,6:49,6:51,6:53,6:55,6:58,6:59,7:01,7:03,7:05,7:07
t12,6:32,6:34,6:36,6:38,6:42,6:45,,,,,6:48,|,|,|,|,|,6:57,-,-,-,-,-,-
t13,6:42,6:44,6:46,6:48,6:52,6:55,,,,,6:58,7:00,7:02,7:04,7:06,7:08,7:10,-,-,-,-,-,-
t14,-,-,-,-,-,7:03,,,,,7:06,7:08,7:10,7:12,7:14,7:16,7:18,7:21,7:22,7:24,7:26,7:28,7:30
t15,-,-,-,-,-,7:09,,,,,7:12,7:14,7:16,7:18,7:20,7:22,7:24,-,-,-,-,-,-
t16,-,-,-,-,-,7:16,,,,,7:19,|,|,|,7:24,|,7:28,-,-,-,-,-,-
t17,7:05,7:07,7:09,7:11,7:15,7:18,,,,,7:21,7:23,7:25,7:27,7:29,7:31,7:33,7:36,7:37,7:39,7:41,7:43,7:45
t18,7:10,7:12,7:14,7:16,7:20,7:22,,,,,7:25,7:27,7:29,7:31,7:33,7:35,7:37,-,-,-,-,-,-
t19,-,-,-,-,-,7:29,,,,,7:32,7:34,7:36,7:38,7:40,7:42,7:44,-,-,-,-,-,-
t20,-,-,-,-,-,7:32,,,,,7:35,7:37,7:39,7:41,7:43,7:45,7:47,-,-,-,-,-,-
t21,-,-,-,-,-,7:39,,,,,7:42,7:44,7:46,7:48,7:50,7:52,7:54,7:57,7:58,8:00,8:02,8:04,8:06
t22,7:30,7:32,7:34,7:36,7:41,7:45,,,,,7:48,|,|,|,|,|,7:56,-,-,-,-,-,-
t23,-,-,-,-,-,7:55,,,,,7:58,|,|,|,8:03,|,8:07,-,-,-,-,-,-
t24,7:48,7:50,7:52,7:54,7:59,8:01,,,,,8:04,|,|,|,8:09,|,8:13,-,-,-,-,-,-
t25,-,-,-,-,-,8:04,,,,,8:07,8:09,8:11,8:13,8:15,8:17,8:19,8:22,8:23,8:25,8:27,8:29,8:31
t26,-,-,-,-,-,8:08,,,,,8:11,|,|,|,8:17,|,8:21,-,-,-,-,-,-
t27,-,-,-,-,-,8:15,,,,,8:18,|,|,|,|,|,8:26,-,-,-,-,-,-
t28,-,-,-,-,-,8:17,,,,,8:20,8:22,8:24,8:26,8:28,8:30,8:32,8:35,8:36,8:38,8:40,8:42,8:44
t29,8:07,8:09,8:11,8:13,8:18,8:22,,,,,8:25,|,|,|,8:30,|,8:34,-,-,-,-,-,-
t30,-,-,-,-,-,8:26,,,,,8:29,8:31,8:33,8:35,8:37,8:39,8:41,8:44,-,-,-,-,-
t31,8:16,8:18,8:20,8:22,8:27,8:30,,,,,8:33,|,|,|,8:39,|,8:43,-,-,-,-,-,-
t32,-,-,-,-,-,8:32,,,,,8:35,8:37,8:39,8:41,8:43,8:45,8:47,-,-,-,-,-,-
t33,-,-,-,-,-,8:40,,,,,8:43,|,|,|,|,|,8:51,8:54,8:55,8:57,8:59,9:01,9:03
t34,8:32,8:34,8:36,8:38,8:43,8:45,,,,,8:48,|,|,|,8:53,|,8:57,-,-,-,-,-,-
t35,-,-,-,-,-,8:45,,,,,8:48,8:50,8:52,8:54,8:56,8:58,9:00,-,-,-,-,-,-
