#Sunbury Line - To Sunbury,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Southern Cross,Flagstaff,Melbourne Central,Parliament,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Parliament,Melbourne Central,Flagstaff,North Melbourne,South Kensington,Footscray,Middle Footscray,West Footscray,Tottenham,Sunshine,Albion,Ginifer,St Albans,Keilor Plains,Watergardens,Diggers Rest,Sunbury
t1,-,-,-,-,-,4:51,4:54,,,,4:57,5:00,5:03,-,-,-,-,-,-,-,-,-,-,-
t2,-,-,-,-,-,4:54,4:57,,,,5:00,5:03,5:06,-,-,-,-,-,-,-,-,-,-,-
t3,-,-,-,-,-,5:06,5:09,,,,5:13,|,5:17,5:19,5:20,5:23,5:26,5:29,5:32,5:34,5:37,5:41,5:48,5:54
t4,-,-,-,-,-,5:14,5:17,,,,5:20,5:23,5:26,-,-,-,-,-,-,-,-,-,-,-
t5,-,-,-,-,-,5:21,5:24,,,,5:27,5:30,5:33,-,-,-,-,-,-,-,-,-,-,-
t6,-,5:13,5:15,5:17,5:20,5:24,5:27,,,,5:31,|,5:35,5:37,5:38,5:41,5:44,5:47,5:50,5:52,5:55,5:59,6:06,6:12
t7,-,-,-,-,-,5:34,5:37,,,,5:40,5:43,5:46,-,-,-,-,-,-,-,-,-,-,-
t8,-,5:29,5:31,5:33,5:36,5:42,5:45,,,,5:49,|,5:53,5:55,5:56,5:59,6:02,6:05,6:08,6:10,6:13,6:17,-,-
t9,-,-,-,-,-,5:43,5:46,,,,5:49,5:52,5:55,-,-,-,-,-,-,-,-,-,-,-
t10,-,-,-,-,-,5:54,5:57,,,,6:00,6:03,6:06,-,-,-,-,-,-,-,-,-,-,-
t11,-,5:49,5:51,5:53,5:56,6:00,6:03,,,,6:07,|,6:11,6:13,6:14,6:17,6:20,6:23,6:26,6:28,6:31,6:35,6:42,6:48
t12,-,-,-,-,-,6:04,6:07,,,,6:10,6:13,6:16,-,-,-,-,-,-,-,-,-,-,-
t13,-,-,-,-,-,6:09,6:12,,,,6:15,6:18,6:21,-,-,-,-,-,-,-,-,-,-,-
t14,-,-,-,-,-,6:16,6:19,,,,6:22,6:25,6:28,-,-,-,-,-,-,-,-,-,-,-
t15,-,6:07,6:09,6:11,6:14,6:18,6:21,,,,6:25,|,6:29,6:31,6:32,6:35,6:38,6:41,6:44,6:46,6:49,6:53,-,-
t16,-,-,-,-,-,6:22,6:25,,,,6:28,6:31,6:34,-,-,-,-,-,-,-,-,-,-,-
t17,-,-,-,-,-,6:26,6:29,,,,6:32,6:35,6:38,-,-,-,-,-,-,-,-,-,-,-
t18,-,-,-,-,-,6:32,6:35,,,,6:38,6:41,6:44,-,-,-,-,-,-,-,-,-,-,-
t19,-,6:25,6:27,6:29,6:32,6:36,6:39,,,,6:43,|,6:47,6:49,6:50,6:53,6:56,6:59,7:02,7:04,7:07,7:11,7:18,7:24
t20,-,-,-,-,-,6:38,6:41,,,,6:44,6:47,6:50,-,-,-,-,-,-,-,-,-,-,-
t21,-,-,-,-,-,6:43,6:46,,,,6:49,6:52,6:55,-,-,-,-,-,-,-,-,-,-,-
