#Belgrave Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Belgrave,Tecoma,Upwey,Upper Ferntree Gully (ARR),Upper Ferntree Gully (DEP),Ferntree Gully,Boronia,Bayswater,Heathmont,Ringwood,Heatherdale,Mitcham,Nunawading,Blackburn,Laburnum,Box Hill,Mont Albert,Surrey Hills,Chatham,Canterbury,East Camberwell,Camberwell,Auburn,Glenferrie
t1,4:27,4:29,4:31,4:35,4:35,4:38,4:40,4:43,4:47,4:50,4:52,4:54,4:57,5:00,5:02,5:05,5:07,5:08,5:10,5:12,5:14,5:16,5:18,5:20
t2,-,-,-,-,-,-,-,-,-,5:05,5:07,5:09,5:12,5:15,5:17,5:20,5:22,5:23,5:25,5:27,5:29,5:31,5:33,5:35
t3,4:55,4:57,4:59,5:03,5:03,5:06,5:08,5:11,5:15,5:18,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t4,-,-,-,-,-,-,-,-,-,5:20,5:22,5:24,5:27,5:30,5:32,5:35,5:37,5:38,5:40,5:42,5:44,5:46,|,|
t5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5:50,5:52,5:54
t6,5:12,5:14,5:16,5:20,5:20,5:23,5:25,5:28,5:32,5:35,5:37,5:39,5:42,5:45,5:47,5:50,5:52,5:53,5:55,5:57,5:59,6:01,6:03,6:05
t7,-,-,-,-,-,-,-,-,-,5:50,5:52,5:54,5:57,6:00,6:02,6:05,6:07,6:08,6:10,6:12,6:14,6:16,|,|
t8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6:18,6:20,6:22
t9,5:42,5:44,5:46,5:50,5:50,5:53,5:55,5:58,6:02,6:05,6:07,6:09,6:12,6:15,6:17,6:20,6:22,6:23,6:25,6:27,6:29,6:31,|,|
t10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6:34,6:36,6:38
t11,-,-,-,-,-,-,-,-,-,6:18,6:20,6:22,6:25,6:28,|,6:32,|,|,|,|,|,6:39,|,|
t12,-,-,-,-,-,-,-,-,-,6:21,6:23,6:25,6:28,6:31,6:33,6:36,6:38,6:39,6:41,6:43,6:45,6:47,|,6:50
t13,6:04,6:06,6:08,6:12,6:12,6:15,6:17,6:20,6:24,6:27,6:29,6:31,6:34,6:37,6:39,6:42,6:44,6:45,6:47,6:49,6:51,6:53,|,6:56
t14,-,-,-,-,-,-,-,-,-,6:34,6:36,6:38,6:41,6:44,6:46,6:49,|,|,|,|,|,6:55,|,6:58
t15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6:56,6:58,7:00
t16,-,-,-,-,-,-,-,-,-,6:37,6:39,6:41,6:44,6:47,6:49,6:52,6:54,6:55,6:57,6:59,7:01,7:03,7:05,7:07
t17,6:22,6:24,6:26,6:30,6:30,6:33,6:35,6:38,6:42,6:45,6:47,6:49,6:52,6:55,6:57,7:00,7:02,7:03,7:05,7:07,7:09,7:11,|,|
t18,-,-,-,-,-,-,-,-,-,6:49,6:51,6:53,6:56,6:59,|,7:03,|,|,|,|,|,7:09,|,|
t19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7:13,7:15,7:17
t20,-,-,-,-,-,-,-,-,-,6:56,6:58,7:00,7:03,7:06,7:08,7:11,7:13,7:14,7:16,7:18,7:20,7:22,7:24,7:26
t21,-,-,-,-,6:44,6:47,6:49,6:52,6:56,7:00,7:02,7:04,7:07,7:10,|,7:14,|,|,|,|,|,|,|,|
t22,-,-,-,-,-,-,-,-,-,7:03,7:05,7:07,7:10,7:13,|,7:17,|,7:19,|,|,|,|,|,|
t23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7:28,7:30,7:32
t24,-,-,-,-,-,-,-,-,-,7:07,7:09,7:11,7:14,7:17,7:19,7:22,7:24,7:25,7:27,7:29,7:31,7:33,7:35,7:37
t25,6:46,6:48,6:50,6:54,6:54,6:57,6:59,7:02,7:06,7:10,7:12,7:14,7:17,7:20,|,7:24,|,|,|,|,|,|,|,|
t26,-,-,-,-,-,-,-,-,-,7:14,7:16,7:18,7:21,7:24,|,7:28,|,7:30,|,|,|,|,|,|
t27,-,-,-,-,-,-,-,-,-,7:17,7:19,7:21,7:24,7:27,7:29,7:32,7:34,7:35,7:37,7:39,7:41,7:43,7:45,7:47
t28,6:56,6:58,7:00,7:04,7:04,7:07,7:09,7:12,7:16,7:20,7:22,7:24,7:27,7:30,|,7:34,|,|,|,|,|,7:40,|,7:43
t29,-,-,-,-,-,-,-,-,-,7:24,7:26,7:28,7:31,7:34,|,7:38,|,7:40,|,|,|,|,|,|
t30,-,-,-,-,-,-,-,-,-,-,-,-,-,7:37,7:39,7:42,7:44,7:45,7:47,7:49,7:51,7:53,7:55,7:57
t31,7:05,7:07,7:09,7:13,7:13,7:16,7:18,7:21,7:25,7:29,7:31,7:33,7:36,7:39,7:41,7:44,|,|,|,|,|,|,|,|
t32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7:48,7:50,7:52
t33,-,-,-,-,-,-,-,-,-,7:33,7:35,7:37,7:40,7:43,|,7:47,|,7:49,|,|,|,|,|,|
t34,7:13,7:15,7:17,7:21,7:21,7:24,7:26,7:29,7:33,7:37,7:39,7:41,7:44,7:47,7:49,7:52,|,|,|,|,|,7:58,|,8:01
t35,-,-,-,-,-,-,-,-,-,-,-,-,-,7:49,7:51,7:54,7:56,7:57,7:59,8:01,8:03,8:05,8:07,8:09
t36,-,-,-,-,-,-,-,-,-,7:42,7:44,7:46,7:49,7:52,|,7:56,|,|,|,|,|,8:02,|,8:05
t37,7:22,7:24,7:26,7:30,7:30,7:33,7:35,7:38,7:42,7:46,7:48,7:50,7:53,7:56,|,8:00,|,|,|,|,|,|,|,|
t38,-,-,-,-,-,-,-,-,-,-,-,-,-,7:58,8:00,8:03,8:05,8:06,8:08,8:10,8:12,8:14,8:16,8:18
t39,-,-,-,-,-,-,-,-,-,7:50,7:52,7:54,7:57,8:00,8:02,8:05,|,|,|,|,|,|,|,|
t40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8:09,8:11,8:13
t41,7:31,7:33,7:35,7:39,7:39,7:42,7:44,7:47,7:51,7:55,7:57,7:59,8:02,8:05,|,8:09,|,8:11,|,|,|,|,|,|
t42,-,-,-,-,-,-,-,-,-,-,-,-,-,8:07,8:09,8:12,8:14,8:15,8:17,8:19,8:21,8:23,8:25,8:27
t43,-,-,-,-,-,-,-,-,-,8:00,8:02,8:04,8:07,8:10,|,8:14,|,|,|,|,|,8:20,|,8:23
t44,7:40,7:42,7:44,7:48,7:48,7:51,7:53,7:56,8:00,8:04,8:06,8:08,8:11,8:14,|,8:18,|,8:20,|,|,|,|,|,|
t45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8:28,8:30,8:32
t46,-,-,-,-,-,-,-,-,-,8:07,8:09,8:11,8:14,8:17,8:19,8:22,8:24,8:25,8:27,8:29,8:31,8:33,8:35,8:37
t47,-,-,-,-,7:55,7:58,8:00,8:03,8:07,8:10,8:12,8:14,8:17,8:20,|,8:24,|,|,|,|,|,|,|,|
t48,-,-,-,-,-,-,-,-,-,8:14,8:16,8:18,8:21,8:24,8:26,8:29,|,|,|,|,|,|,|,|
t49,-,-,-,-,-,-,-,-,-,-,-,-,-,8:27,8:29,8:32,8:34,8:35,8:37,8:39,8:41,8:43,8:45,8:47
t50,7:55,7:57,7:59,8:03,8:03,8:06,8:08,8:11,8:15,8:18,8:20,8:22,8:25,8:29,8:31,8:34,|,|,|,|,|,8:40,|,8:43
t51,-,-,-,-,-,-,-,-,-,8:22,8:24,8:26,8:29,8:32,8:34,8:37,|,|,|,|,|,8:43,|,8:46
t52,8:04,8:06,8:08,8:12,8:12,8:15,8:17,8:20,8:24,8:27,8:29,8:31,8:34,8:37,8:39,8:42,|,8:44,|,|,|,|,|,|
t53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8:48,8:50,8:52
t54,-,-,-,-,-,-,-,-,-,8:32,8:34,8:36,8:39,8:42,8:44,8:47,|,|,|,|,|,8:53,|,8:56
t55,-,-,-,-,-,-,-,-,-,-,-,-,-,8:44,8:46,8:49,8:51,8:52,8:54,8:56,8:58,9:00,9:02,9:04
t56,-,-,-,-,-,-,-,-,-,8:40,8:42,8:44,8:47,8:50,|,8:54,|,|,|,|,|,9:00,|,9:03
t57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9:04,9:06,9:08
t58,-,-,-,-,-,-,-,-,-,-,-,-,-,8:57,8:59,9:02,9:04,9:05,9:07,9:09,9:11,9:13,9:15,9:17
t59,-,-,-,-,-,-,-,-,-,8:51,8:53,8:55,8:58,9:01,|,9:05,|,|,|,|,|,|,|,|
t60,8:31,8:33,8:35,8:39,8:39,8:42,8:44,8:47,8:51,8:54,8:56,8:58,9:01,9:04,|,9:08,|,|,|,|,|,9:14,|,|
t61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9:20,9:22,9:24
t62,-,-,-,-,-,-,-,-,-,-,-,-,-,9:09,9:11,9:14,9:16,9:17,9:19,9:21,9:23,9:25,9:27,9:29
t63,-,-,-,-,-,-,-,-,-,9:09,9:11,9:13,9:16,9:19,9:21,9:24,|,|,|,|,|,9:30,|,9:33
t64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9:35,9:37,9:39
t65,-,-,-,-,-,-,-,-,-,-,-,-,-,9:23,9:25,9:28,9:30,9:31,9:33,9:35,9:37,9:39,9:41,9:43
t66,8:56,8:58,9:00,9:04,9:04,9:07,9:09,9:12,9:16,9:19,9:21,9:23,9:26,9:29,9:31,9:34,|,|,|,|,|,9:40,|,9:43
t67,-,-,-,-,-,-,-,-,-,-,-,-,-,9:35,9:37,9:40,9:42,9:43,9:45,9:47,9:49,9:51,9:53,9:55
t68,-,-,-,-,-,-,-,-,-,9:31,9:33,9:35,9:38,9:41,9:43,9:46,|,|,|,|,|,9:52,|,9:55
t69,-,-,-,-,-,-,-,-,-,-,-,-,-,9:45,9:47,9:50,9:52,9:53,9:55,9:57,9:59,10:01,10:03,10:05
t70,9:22,9:24,9:26,9:30,9:30,9:33,9:35,9:38,9:42,9:45,9:47,9:49,9:52,9:55,9:57,10:00,|,|,|,|,|,10:06,|,10:09
t71,-,-,-,-,-,-,-,-,-,-,-,-,-,9:57,9:59,10:02,10:04,10:05,10:07,10:09,10:11,10:13,10:15,10:17
t72,-,-,-,-,-,-,-,-,-,9:58,10:00,10:02,10:05,10:08,10:10,10:13,|,|,|,|,|,10:19,|,10:22
t73,-,-,-,-,-,-,-,-,-,-,-,-,-,10:10,10:12,10:15,10:17,10:18,10:20,10:22,10:24,10:26,10:28,10:30
t74,9:47,9:49,9:51,9:55,9:55,9:58,10:00,10:03,10:07,10:10,10:12,10:14,10:17,10:20,|,10:24,|,|,|,|,|,10:30,|,10:33
t75,-,-,-,-,-,-,-,-,-,-,-,-,-,10:22,10:24,10:27,10:29,10:30,10:32,10:34,10:36,10:38,10:40,10:42
t76,-,-,-,-,-,-,-,-,-,10:25,10:27,10:29,10:32,10:35,|,10:39,|,|,|,|,|,10:45,|,10:48
t77,-,-,-,-,-,-,-,-,-,-,-,-,-,10:37,10:39,10:42,10:44,10:45,10:47,10:49,10:51,10:53,10:55,10:57
t78,10:17,10:19,10:21,10:25,10:25,10:28,10:30,10:33,10:37,10:40,10:42,10:44,10:47,10:50,|,10:54,|,|,|,|,|,11:00,|,11:03
t79,-,-,-,-,-,-,-,-,-,-,-,-,-,10:52,10:54,10:57,10:59,11:00,11:02,11:04,11:06,11:08,11:10,11:12
t80,-,-,-,-,-,-,-,-,-,10:55,10:57,10:59,11:02,11:05,|,11:09,|,|,|,|,|,11:15,|,11:18
t81,-,-,-,-,-,-,-,-,-,-,-,-,-,11:07,11:09,11:12,11:14,11:15,11:17,11:19,11:21,11:23,11:25,11:27
t82,10:47,10:49,10:51,10:55,10:55,10:58,11:00,11:03,11:07,11:10,11:12,11:14,11:17,11:20,|,11:24,|,|,|,|,|,11:30,|,11:33
t83,-,-,-,-,-,-,-,-,-,-,-,-,-,11:22,11:24,11:27,11:29,11:30,11:32,11:34,11:36,11:38,11:40,11:42
t84,-,-,-,-,-,-,-,-,-,11:25,11:27,11:29,11:32,11:35,|,11:39,|,|,|,|,|,11:45,|,11:48
t85,-,-,-,-,-,-,-,-,-,-,-,-,-,11:37,11:39,11:42,11:44,11:45,11:47,11:49,11:51,11:53,11:55,11:57
t86,11:17,11:19,11:21,11:25,11:25,11:28,11:30,11:33,11:37,11:40,11:42,11:44,11:47,11:50,|,11:54,|,|,|,|,|,12:00,|,12:03
t87,-,-,-,-,-,-,-,-,-,-,-,-,-,11:52,11:54,11:57,11:59,12:00,12:02,12:04,12:06,12:08,12:10,12:12
t88,-,-,-,-,-,-,-,-,-,11:55,11:57,11:59,12:02,12:05,|,12:09,|,|,|,|,|,12:15,|,12:18
t89,-,-,-,-,-,-,-,-,-,-,-,-,-,12:07,12:09,12:12,12:14,12:15,12:17,12:19,12:21,12:23,12:25,12:27
t90,11:47,11:49,11:51,11:55,11:55,11:58,12:00,12:03,12:07,12:10,12:12,12:14,12:17,12:20,|,12:24,|,|,|,|,|,12:30,|,12:33
t91,-,-,-,-,-,-,-,-,-,-,-,-,-,12:22,12:24,12:27,12:29,12:30,12:32,12:34,12:36,12:38,12:40,12:42
